Team,Points_For,Points_Against,Wins,Games,Wins_Per,City
Vegas Golden Knights,273,248,46,88,0.52,Vegas
Montreal Canadiens,247,238,43,82,0.52,Montreal
Arizona Coyotes,213,223,39,82,0.48,Arizona
Detroit Red Wings,227,277,32,82,0.39,Detroit
San Jose Sharks,339,324,54,100,0.54,San Jose
Florida Panthers,267,280,36,82,0.44,Florida
Vancouver Canucks,225,254,35,82,0.43,Vancouver
Ottawa Senators,242,302,29,82,0.35,Ottawa
Dallas Stars,243,229,49,93,0.53,Dallas
Nashville Predators,252,232,49,87,0.56,Nashville
Chicago Blackhawks,270,292,36,82,0.44,Chicago
St. Louis Blues,319,291,60,107,0.56,St. Louis
Boston Bruins,338,266,64,106,0.6,Boston
Philadelphia Flyers,243,282,36,82,0.44,Philadelphia
Colorado Avalanche,296,272,46,93,0.49,Colorado
New York Islanders,243,218,51,89,0.57,New York
Winnipeg Jets,288,260,49,88,0.56,Winnipeg
Toronto Maple Leafs,303,274,49,89,0.55,Toronto
Calgary Flames,298,247,50,87,0.57,Calgary
Los Angeles Kings,202,263,31,82,0.38,Los Angeles
New Jersey Devils,222,275,31,82,0.38,New Jersey
Washington Capitals,298,271,51,89,0.57,Washington
Anaheim Ducks,199,251,35,82,0.43,Anaheim
Columbus Blue Jackets,283,256,52,91,0.57,Columbus
Carolina Hurricanes,287,266,53,97,0.55,Charlotte
Pittsburgh Penguins,278,252,44,85,0.52,Pittsburgh
Buffalo Sabres,226,271,33,82,0.4,Buffalo
Edmonton Oilers,232,274,35,82,0.43,Edmonton
Tampa Bay Lightning,334,234,63,85,0.74,Tampa
Minnesota Wild,212,236,38,82,0.46,Minnesota
New York Rangers,229,270,33,82,0.4,New York
