Team,Points_For,Points_Against,Wins,Games,Wins_Per,City
Orlando Magic,9260,9274,43,87,0.49,Orlando
Oklahoma City Thunder,9932,9660,51,87,0.59,Oklahoma
Miami Heat,8668,8687,39,82,0.48,Miami
Cleveland Cavaliers,8567,9355,19,82,0.23,Cleveland
New Orleans Pelicans,9466,9575,33,82,0.4,New Orleans
Detroit Pistons,9170,9285,41,86,0.48,Detroit
Milwaukee Bucks,11378,10519,70,97,0.72,Milwaukee
Charlotte Hornets,9081,9171,39,82,0.48,Charlotte
New York Knicks,8575,9330,17,82,0.21,New York
Los Angeles Clippers,10001,9998,49,87,0.56,Los Angeles
Los Angeles Lakers,9135,9306,37,82,0.45,Los Angeles
Denver Nuggets,10513,10167,60,95,0.63,Denver
Chicago Bulls,8605,9295,22,82,0.27,Chicago
Dallas Mavericks,8924,9051,32,82,0.39,Dallas
Boston Celtics,10135,9784,54,91,0.59,Boston
Philadelphia 76ers,10654,10384,58,93,0.62,Philadelphia
Minnesota Timberwolves,9223,9346,36,82,0.44,Minnesota
San Antonio Spurs,9793,9664,51,88,0.58,San Antonio
Sacramento Kings,9363,9455,39,82,0.48,Sacramento
Golden State Warriors,11936,11328,70,102,0.69,San Francisco
Indiana Pacers,9224,8981,48,86,0.56,Indiana
Utah Jazz,9650,9265,51,87,0.59,Utah
Portland Trail Blazers,11156,10835,61,98,0.62,Portland
Toronto Raptors,11834,11217,73,105,0.7,Toronto
Houston Rockets,10435,9974,59,92,0.64,Houston
Atlanta Hawks,9294,9788,29,82,0.35,Atlanta
Memphis Grizzlies,8490,8703,33,82,0.4,Memphis
Phoenix Suns,8815,9581,19,82,0.23,Phoenix
Brooklyn Nets,9761,9822,43,87,0.49,New York
Washington Wizards,9350,9588,32,82,0.39,Washington
